UTC Date,Run Number,Nominal Data Duration (min),p.e. threshold,Target,Start Time (UTC),Target  Time (UTC),Goal RA,Goal Dec,Pointing Script
4/21/26,400265,28,23,Mrk421,4:13:00 AM,4:15:00 AM,10 57 39.965,35 53 44.250,Miguel's 2.68 deg El
4/21/26,400267,28,23,Mrk421,4:43:00 AM,4:45:00 AM,11 09 31.571,35 43 37.276,Miguel's 2.68 deg El
4/21/26,400269,15,23,Mrk421,5:15:00 AM,5:15:00 AM,11 15 39.576,36 42 40.897,Miguel's 2.68 deg El
4/21/26,400272,22,23,Mrk421,5:49:00 AM,5:45:00 AM,11 17 17.931,37 20 43.987,Miguel's 2.68 deg El
4/21/26,400275,21,23,Mrk421+2HrRA,6:20:00 AM,6:15:00 AM,12 57 48.709,35 52 43.787,Miguel's 2.68 deg El
4/21/26,400277,26,23,Mrk421+2HrRA,6:45:00 AM,6:45:00 AM,13 09 42.244,35 44 30.033,Miguel's 2.68 deg El
4/21/26,400279,26,23,Mrk421+2HrRA,7:15:00 AM,7:15:00 AM,13 15 42.054,36 43 23.426,Miguel's 2.68 deg El
4/21/26,400280,23,23,Mrk421+2HrRA,7:48:00 AM,7:45:00 AM,13 17 18.479,37 21 1.249,Miguel's 2.68 deg El
4/20/26,400238,25,20,Mrk421,4:15:00 AM,4:15:00 AM,10 56 35.981,36 01 59.086,Miguel's 2.68 deg El
4/20/26,400240,26,20,Mrk421,4:45:00 AM,4:45:00 AM,11 08 2.448,35 37 33.251,Miguel's 2.68 deg El
4/20/26,400242,18,20,Mrk421,5:14:00 AM,5:15:00 AM,11 15 14.783,36 35 54.323,Miguel's 2.68 deg El
4/20/26,400243,31,20,Mrk421,5:40:00 AM,5:45:00 AM,11 17 10.604,37 16 50.172,Miguel's 2.68 deg El
4/20/26,400245,26,20,Mrk421,6:15:00 AM,6:15:00 AM,11 17 47.937,37 41 32.598,Miguel's 2.68 deg El
4/20/26,400247,26,20,Mrk421,6:45:00 AM,6:45:00 AM,11 18 1.901,37 58 52.432,Miguel's 2.68 deg El
4/20/26,400249,23,20,Mrk421,7:13:00 AM,7:15:00 AM,11 18 6.167,38 12 35.094,Miguel's 2.68 deg El
4/20/26,400251,21,21,Mrk421+3HrRA,7:50:00 AM,7:45:00 AM,14 08 19.816,35 38 34.996,Miguel's 2.68 deg El
4/20/26,400253,25,20,Mrk421+3HrRA,8:16:00 AM,8:15:00 AM,14 15 18.744,36 36 57.615,Miguel's 2.68 deg El
4/20/26,400255,26,20,Mrk421+3HrRA,8:45:00 AM,8:45:00 AM,14 17 11.345,37 17 13.522,Miguel's 2.68 deg El
4/20/26,400257,27,20,Mrk421+3HrRA,9:14:00 AM,9:15:00 AM,14 17 48.068,37 41 39.099,Miguel's 2.68 deg El
4/20/26,400259,29,20,Mrk421+3HrRA,9:42:00 AM,9:45:00 AM,14 18 1.925,37 58 51.621,Miguel's 2.68 deg El
4/20/26,400262,20,20,Mrk421+3HrRA,10:21:00 AM,10:15:00 AM,14 18 6.208,38 12 30.866,Miguel's 2.68 deg El
4/19/26,400210,11,20,Mrk421,4:00:00 AM,4:05:00 AM,10 54 1.773,36 30 27.188,Miguel's 2.68 deg El
4/19/26,400211,12,20,Mrk421,4:19:00 AM,4:19:00 AM,10 54 1.773,36 30 27.188,Miguel's 2.68 deg El
4/19/26,400213,26,20,Mrk421,4:35:00 AM,4:35:00 AM,11 02 3.858,35 34 16.689,Miguel's 2.68 deg El
4/19/26,400215,29,20,Mrk421,5:03:00 AM,5:05:00 AM,11 12 59.862,36 08 15.223,Miguel's 2.68 deg El
4/19/26,400218,23,20,Mrk421,5:38:00 AM,5:35:00 AM,11 16 33.885,37 00 39.893,Miguel's 2.68 deg El
4/19/26,400220,17,20,Mrk421,6:03:00 AM,6:05:00 AM,11 17 35.122,37 31 21.432,Miguel's 2.68 deg El
4/19/26,400221,33,20,Mrk421,6:29:00 AM,6:35:00 AM,11 17 57.092,37 51 25.920,Miguel's 2.68 deg El
4/19/26,400223,28,20,Mrk421,7:03:00 AM,7:05:00 AM,11 18 5.016,38 06 31.995,Miguel's 2.68 deg El
4/19/26,400225,26,20,Mrk421+2.5Hr RA,7:35:00 AM,7:35:00 AM,13 43 7.396,36 09 28.851,Miguel's 2.68 deg El
4/19/26,400228,22,20,Mrk421+2.5Hr RA,8:09:00 AM,8:05:00 AM,13 46 35.387,37 01 13.772,Miguel's 2.68 deg El
4/19/26,400230,3,20,Mrk421+2.5Hr RA,8:34:00 AM,8:35:00 AM,13 47 35.437,37 31 33.130,Miguel's 2.68 deg El
4/19/26,400231,17,20,Mrk421+2.5Hr RA,8:44:00 AM,8:44:00 AM,13 47 35.437,37 31 33.130,Miguel's 2.68 deg El
4/19/26,400233,29,20,Mrk421+2.5Hr RA,9:02:00 AM,9:05:00 AM,13 47 57.154,37 51 27.999,Miguel's 2.68 deg El
4/19/26,400235,29,20,Mrk421+2.5Hr RA,9:32:00 AM,9:35:00 AM,13 48 5.040,38 06 29.509,Miguel's 2.68 deg El
4/18/26,400182,28,20,Mrk421,4:58:00 AM,4:50:00 AM,11 06 52.0,35 34 19.418,Miguel's 2.68 deg El
4/18/26,400185,19,20,Mrk421,5:27:00 AM,5:20:00 AM,11 14 53.702,36 30 39.614,Miguel's 2.68 deg El
4/18/26,400187,26,20,Mrk421,5:50:00 AM,5:50:00 AM,11 17 4.567,37 13 49.926,Miguel's 2.68 deg El
4/18/26,400189,28,20,Mrk421,6:18:00 AM,6:20:00 AM,11 17 45.754,37 39 35.524,Miguel's 2.68 deg El
4/18/26,400191,29,20,Mrk421,6:47:00 AM,6:50:00 AM,11 18 1.098,37 57 24.834,Miguel's 2.68 deg El
4/18/26,400193,26,20,Mrk421,7:20:00 AM,7:20:00 AM,11 18 6.031,38 11 22.707,Miguel's 2.68 deg El
4/18/26,400196,21,20,Mrk421+3Hr RA,7:55:00 AM,7:50:00 AM,14 07 10.686,35 35 2.574,Miguel's 2.68 deg El
4/18/26,400198,26,20,Mrk421+3Hr RA,8:20:00 AM,8:20:00 AM,14 14 58.286,36 31 46.517,Miguel's 2.68 deg El
4/18/26,400200,28,20,Mrk421+3Hr RA,8:48:00 AM,8:50:00 AM,14 17 5.443,37 14 14.104,Miguel's 2.68 deg El
4/18/26,400202,27,20,Mrk421+3Hr RA,9:19:00 AM,9:20:00 AM,14 17 45.909,37 39 41.285,Miguel's 2.68 deg El
4/18/26,400204,11,20,Mrk421+3Hr RA,9:47:00 AM,9:50:00 AM,14 18 1.121,37 57 22.642,Miguel's 2.68 deg El
4/18/26,400205,8,20,Mrk421+3Hr RA,10:08:00 AM,10:08:00 AM,14 18 1.121,37 57 22.642,Miguel's 2.68 deg El
4/18/26,400206,11,20,Mrk421+3Hr RA,10:23:00 AM,10:20:00 AM,14 18 6.0623,38 11 16.799,Miguel's 2.68 deg El
4/18/26,400207,9,20,Mrk421+3Hr RA,10:41:00 AM,10:41:00 AM,14 18 6.0623,38 11 16.799,Miguel's 2.68 deg El
4/17/26,400156,14,20,Mrk421,4:42:00 AM,4:30:00 AM,10 57 27.31,35 55 14.27,Miguel's 2.68 deg El
4/17/26,400158,26,20,Mrk421,5:00:00 AM,5:00:00 AM,11 09 15.83,35 42 22.76,Miguel's 2.68 deg El
